date,site,toggle,depth_range_m,deep_ft,shallow_ft,deep_m,shallow_m,divers,net_type,net_num,clarity,bedrock,boulder,cobble,gravel,small_gravel,sand,silt,hard_clay,veg_low,veg_mid,veg_high,clad,veg_cover,veg_1,veg_2,veg_3,veg_4,veg_5
7/19/2022,PEP,1,20,NA,NA,20,20,"MB, SAB, RAL, PB",NA,NA,NA,0,0,0,0,0,10,90,0,A,A,A,A,0,NA,NA,NA,NA,NA
7/20/2022,BLH,1,5,NA,NA,5,5,MB,NA,NA,NA,0,0,5,0,45,40,10,0,P,A,A,P,1,NA,NA,NA,NA,NA
7/20/2022,BLH,1,10,NA,NA,10,10,"RAL, PB",NA,NA,NA,0,0,0,0,0,80,20,0,A,A,A,A,0,NA,NA,NA,NA,NA
7/20/2022,BLH,1,5,NA,NA,5,5,SAB,NA,NA,NA,0,0,0,40,40,15,5,0,P,A,A,A,1,NA,NA,NA,NA,NA
7/20/2022,DAG,1,5,NA,NA,5,5,MB,NA,NA,NA,0,0,0,0,0,80,20,0,P,P,A,A,1,NA,NA,NA,NA,NA
7/20/2022,DAG,1,10,NA,NA,10,10,"RAL, PB",NA,NA,NA,0,0,0,0,0,0,100,0,P,A,A,A,1,NA,NA,NA,NA,NA
7/20/2022,DAG,1,5,NA,NA,5,5,SAB,NA,NA,NA,0,0,0,0,0,80,20,0,P,P,A,A,1,NA,NA,NA,NA,NA
7/20/2022,PEP,1,5,NA,NA,5,5,MB,NA,NA,NA,25,0,0,0,0,60,15,0,P,P,P,A,1,NA,NA,NA,NA,NA
7/20/2022,PEP,1,10,NA,NA,10,10,"RAL, PB",NA,NA,NA,0,0,0,5,0,90,5,0,P,A,A,A,1,NA,NA,NA,NA,NA
7/20/2022,PEP,1,5,NA,NA,5,5,SAB,NA,NA,NA,20,0,0,0,0,60,20,0,P,P,P,A,1,NA,NA,NA,NA,NA
7/20/2022,PYR,1,10,NA,NA,10,10,MB,NA,NA,NA,0,5,0,0,0,95,0,0,P,A,A,A,1,NA,NA,NA,NA,NA
7/20/2022,PYR,1,5,NA,NA,5,5,"RAL, PB",NA,NA,NA,0,10,0,0,0,80,10,0,P,P,A,A,1,NA,NA,NA,NA,NA
7/20/2022,PYR,1,10,NA,NA,10,10,SAB,NA,NA,NA,0,10,5,0,0,75,10,0,P,P,A,A,1,NA,NA,NA,NA,NA
7/20/2022,STS,1,10,NA,NA,10,10,MB,NA,NA,NA,0,0,0,0,0,0,100,0,P,A,A,P,1,NA,NA,NA,NA,NA
7/20/2022,STS,1,5,NA,NA,5,5,"RAL, PB",NA,NA,NA,0,0,0,0,0,0,100,0,P,P,P,P,1,NA,NA,NA,NA,NA
7/20/2022,STS,1,10,NA,NA,10,10,SAB,NA,NA,NA,0,0,0,0,0,0,100,0,P,A,A,P,1,NA,NA,NA,NA,NA
7/20/2022,TAM,1,10,NA,NA,10,10,MB,NA,NA,NA,0,0,0,0,0,10,90,0,P,P,A,P,1,NA,NA,NA,NA,NA
7/20/2022,TAM,1,5,NA,NA,5,5,"RAL, PB",NA,NA,NA,0,0,0,0,0,20,80,0,P,P,P,P,1,NA,NA,NA,NA,NA
7/20/2022,TAM,1,10,NA,NA,10,10,SAB,NA,NA,NA,0,0,0,0,0,10,90,0,P,P,A,P,1,NA,NA,NA,NA,NA
7/21/2022,ABY,1,10,NA,NA,10,10,"RAL, SAB",NA,NA,NA,1,0,0,0,0,99,0,0,P,A,A,P,1,NA,NA,NA,NA,NA
